window,Station Code,count
"2024-08-25 20:36:40,2024-08-25 20:56:40",THVM,1
"2024-08-25 20:31:40,2024-08-25 20:51:40",THVM,1
"2024-08-25 20:27:50,2024-08-25 20:47:50",THVM,1
"2024-08-25 20:21:00,2024-08-25 20:41:00",THVM,1
"2024-08-25 20:24:00,2024-08-25 20:44:00",THVM,1
"2024-08-25 20:21:50,2024-08-25 20:41:50",THVM,1
"2024-08-25 20:29:20,2024-08-25 20:49:20",THVM,1
"2024-08-25 20:37:10,2024-08-25 20:57:10",THVM,1
"2024-08-25 20:38:00,2024-08-25 20:58:00",THVM,1
"2024-08-25 20:20:20,2024-08-25 20:40:20",THVM,1
"2024-08-25 20:32:00,2024-08-25 20:52:00",THVM,1
"2024-08-25 20:37:50,2024-08-25 20:57:50",THVM,1
"2024-08-25 20:20:50,2024-08-25 20:40:50",THVM,1
"2024-08-25 20:34:20,2024-08-25 20:54:20",THVM,1
"2024-08-25 20:37:40,2024-08-25 20:57:40",THVM,1
"2024-08-25 20:28:20,2024-08-25 20:48:20",THVM,1
"2024-08-25 20:30:40,2024-08-25 20:50:40",THVM,1
"2024-08-25 20:33:20,2024-08-25 20:53:20",THVM,1
"2024-08-25 20:29:00,2024-08-25 20:49:00",THVM,1
"2024-08-25 20:36:10,2024-08-25 20:56:10",THVM,1
"2024-08-25 20:33:00,2024-08-25 20:53:00",THVM,1
"2024-08-25 20:36:00,2024-08-25 20:56:00",THVM,1
"2024-08-25 20:38:10,2024-08-25 20:58:10",THVM,1
"2024-08-25 20:26:10,2024-08-25 20:46:10",THVM,1
"2024-08-25 20:32:40,2024-08-25 20:52:40",THVM,1
"2024-08-25 20:23:40,2024-08-25 20:43:40",THVM,1
"2024-08-25 20:34:10,2024-08-25 20:54:10",THVM,1
"2024-08-25 20:34:50,2024-08-25 20:54:50",THVM,1
"2024-08-25 20:33:10,2024-08-25 20:53:10",THVM,1
"2024-08-25 20:29:50,2024-08-25 20:49:50",THVM,1
"2024-08-25 20:30:20,2024-08-25 20:50:20",THVM,1
"2024-08-25 20:23:00,2024-08-25 20:43:00",THVM,1
"2024-08-25 20:29:40,2024-08-25 20:49:40",THVM,1
"2024-08-25 20:24:50,2024-08-25 20:44:50",THVM,1
"2024-08-25 20:38:50,2024-08-25 20:58:50",THVM,1
"2024-08-25 20:29:30,2024-08-25 20:49:30",THVM,1
"2024-08-25 20:33:50,2024-08-25 20:53:50",THVM,1
"2024-08-25 20:28:00,2024-08-25 20:48:00",THVM,1
"2024-08-25 20:27:20,2024-08-25 20:47:20",THVM,1
"2024-08-25 20:23:50,2024-08-25 20:43:50",THVM,1
"2024-08-25 20:24:40,2024-08-25 20:44:40",THVM,1
"2024-08-25 20:31:00,2024-08-25 20:51:00",THVM,1
"2024-08-25 20:36:20,2024-08-25 20:56:20",THVM,1
"2024-08-25 20:22:30,2024-08-25 20:42:30",THVM,1
"2024-08-25 20:37:30,2024-08-25 20:57:30",THVM,1
"2024-08-25 20:40:00,2024-08-25 21:00:00",THVM,1
"2024-08-25 20:32:20,2024-08-25 20:52:20",THVM,1
"2024-08-25 20:39:00,2024-08-25 20:59:00",THVM,1
"2024-08-25 20:31:10,2024-08-25 20:51:10",THVM,1
"2024-08-25 20:24:30,2024-08-25 20:44:30",THVM,1
"2024-08-25 20:21:30,2024-08-25 20:41:30",THVM,1
"2024-08-25 20:33:30,2024-08-25 20:53:30",THVM,1
"2024-08-25 20:30:30,2024-08-25 20:50:30",THVM,1
"2024-08-25 20:20:10,2024-08-25 20:40:10",THVM,1
"2024-08-25 20:22:00,2024-08-25 20:42:00",THVM,1
"2024-08-25 20:28:30,2024-08-25 20:48:30",THVM,1
"2024-08-25 20:22:50,2024-08-25 20:42:50",THVM,1
"2024-08-25 20:25:40,2024-08-25 20:45:40",THVM,1
"2024-08-25 20:37:20,2024-08-25 20:57:20",THVM,1
"2024-08-25 20:26:40,2024-08-25 20:46:40",THVM,1
"2024-08-25 20:22:20,2024-08-25 20:42:20",THVM,1
